pop	longitude	latitude	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	alt
aWeipa	141.85	-12.65	26.00416565	9.224999428	63.62069321	139.0463867	33.09999847	18.60000038	14.49999809	26.68333435	23.95000076	27.44999886	23.95000076	1678	449	1	121.6442642	1189	6	364	6	18
bMapoon	142.19	-11.87	26.33749962	8.908333778	61.43679047	142.0167084	33.59999847	19.10000038	14.49999809	27.04999924	24.75	27.88333321	24.28333282	1614	413	4	118.2255478	1131	16	695	24	42
cYork	142.51	-10.70	26.60833359	6.100000381	62.88659668	111.4131012	31.5	21.79999924	9.700000763	27.35000038	25.83333397	27.85000038	25.06666565	1797	388	8	102.8397064	1114	37	648	65	13
dCoen	143.2	-13.94	25.21666718	9.849999428	59.33735275	198.6812439	33.29999924	16.70000076	16.59999847	26.63333321	22.41666794	27.39999962	22.41666794	1285	336	5	117.1941986	899	17	529	17	211
eCooktown	145.25	-15.48	25.52916718	6.025000095	51.49572372	199.5387573	31.20000076	19.5	11.70000076	27.35000038	24.38333321	27.66666603	22.76666641	1882	502	10	115.7782593	1330	55	1158	87	25
fTribulation	145.46	-16.09	24.64999962	6.450000286	53.30578613	214.5820465	30.5	18.39999962	12.10000038	26.68333435	22.26666641	26.91666603	21.66666603	2695	554	36	87.9790802	1574	128	1219	193	20
gCairns	145.74	-16.89	24	8.183333397	55.66893005	236.2202454	30.70000076	16	14.70000076	26.29999924	20.76666641	26.56666756	20.76666641	2590	627	21	101.9066772	1613	83	1421	83	232
hMareeba	145.44	-17.00	23.10416603	10.79166698	58.01971436	268.6621704	31.70000076	13.10000038	18.60000038	25.46666718	20.29999924	25.96666718	19.43333435	1235	353	10	110.3181305	797	39	497	41	403
iUtchee	145.92	-17.63	23.29166603	8.233333588	51.45833206	279.2997131	30.70000076	14.69999981	16	26.16666603	23.48333359	26.35000038	19.48333359	3773	619	107	62.44301605	1800	483	1422	524	127
jTownsville	146.8	-19.28	24.71249962	8.641666412	49.95183182	311.2885437	31.89999962	14.60000038	17.29999924	27.89999962	20.41666603	28.01666641	20.41666603	2033	649	13	122.9021759	1464	50	1077	50	8
kBowen	148.22	-20.02	24.36666679	8.75	49.43502808	322.7744446	31.89999962	14.19999981	17.70000076	27.81666756	20.76666641	27.81666756	19.91666603	990	213	14	91.97772217	585	45	585	58	2
lRockhampton	150.51	-23.38	22.73749924	11.3083334	51.87309265	387.4457092	32.09999847	10.30000019	21.79999924	26.68333244	18.46666718	26.96666527	17.43333435	1525	497	25	108.0589523	953	92	907	105	13
mBrisbane	152.94	-27.41	19.82916641	10.375	50.12077332	389.2793884	29.10000038	8.399999619	20.70000076	24.21666718	15.38333321	24.21666718	14.61666679	1267	224	34	52.45943451	538	129	538	147	81
nTorren	145.02	-20.77	22.84166718	13.00000095	50.78125	456.3682556	34.40000153	8.800000191	25.60000229	27.70000076	18.23333359	27.70000076	16.64999962	548	115	7	83.57559204	309	31	309	37	469
oHughenden	144.2	-20.85	24.38333321	14.25	53.1716423	454.9242249	36.29999924	9.5	26.79999924	29.13333321	19.85000038	29.13333321	18.16666603	508	123	6	87.03470612	296	26	296	35	321
pCloncurry	140.51	-20.71	25.57083321	13.72499943	49.90908432	493.3487854	37.90000153	10.39999962	27.50000191	29.81666756	20.68333244	30.61666679	18.81666565	428	106	4	100.5185623	268	15	262	16	198
pIsa	139.49	-20.73	24.71249962	13.9416666	49.79166794	504.539032	37.09999847	9.100000381	27.99999809	29.98333359	17.81666756	29.98333359	17.81666756	473	112	5	97.3787384	287	18	287	18	353
pNarrabri	149.78	-30.33	18.89166641	14.63333321	49.27048111	578.5162964	33.5	3.799999952	29.70000076	25.76666641	11.46666718	25.76666641	11.46666718	657	112	33	39.28452301	251	117	251	117	215
qSydney	151.21	-33.87	17.72916603	8.441666603	45.63063431	370.9291687	26.29999924	7.800000191	18.5	21.96666718	13.60000038	22.06666565	12.88333321	1261	153	71	25.93885231	420	229	348	274	43
rCanberra	149.1	-35.40	13.27083302	13.32499981	48.27898407	526.7415161	27.60000038	0	27.60000038	12.85000038	7.633333206	19.73333359	6.666666508	743	78	46	16.24359703	221	155	189	163	632
sBatemans	150.18	-35.71	16.1875	8.341667175	45.83333206	353.1167908	24.60000038	6.400000095	18.20000076	19.21666718	12.30000019	20.36666679	11.64999962	1075	133	45	26.03284645	345	174	338	208	13
sBega	149.97	-36.62	15.22916698	10.07499981	50.88384247	349.9055481	24.79999924	5	19.79999924	19.43333244	11.36666679	19.43333244	10.73333359	949	123	44	26.32496643	306	157	306	173	66
tArdlethan	146.9	-34.35	16.49166679	13.16666603	44.93743134	607.2322998	32.09999847	2.799999952	29.29999924	12.5	21.11666679	24.01666641	9.066666603	453	47	32	12.35798168	127	99	107	119	212
tGriffith	146.05	-34.28	16.70416641	13.4416666	45.56497192	588.0145874	32.20000076	2.700000048	29.5	12.98333359	21.23333359	23.93333435	9.449999809	445	44	31	10.8818779	123	100	104	114	165
uShepparton	145.4	-36.38	15.27499962	12.4333334	46.56679153	517.4215088	30.10000038	3.400000095	26.70000076	9.866666794	19.25	21.70000076	8.966667175	557	58	30	18.78706932	169	108	116	162	115
vAlice	133.88	-23.70	21.27916718	14.64166641	46.48147964	620.0419922	36.20000076	4.699999809	31.5	27.58333397	15.28333378	28.31666565	13.19999981	330	49	9	50.30475998	138	34	136	39	579
wLoyalty	167.22	-21.01	22.9375	7.458333492	54.04589081	231.7142181	29.20000076	15.39999962	13.80000114	25.76666641	20.10000038	25.76666641	20.10000038	1557	234	62	45.68251038	655	233	655	233	42
xTahiti	-149.56	-17.56	23.61249924	7.141666889	68.6698761	124.7019196	28.79999924	18.39999962	10.39999962	24.31666565	22.06666565	25.10000038	22.06666565	1740	229	62	36.06740952	636	251	569	251	297
