CHR	BP	aa
1	84	0.1
1	98	0.109722222
1	364311	1:364311
1	397014	1:397014
1	905396	1:905396
1	1004101	1:1004101
1	1004126	1:1004126
1	1209149	1:1209149
1	1249052	1:1249052
1	1270036	1:1270036
1	1296931	1:1296931
1	1296943	1:1296943
1	1311977	1:1311977
1	1396097	1:1396097
1	1520439	1:1520439
1	1598364	1:1598364
1	1654696	1:1654696
1	1654725	1:1654725
1	1817772	1:1817772
1	1863373	1:1863373
1	1863375	1:1863375
1	1971766	1:1971766
1	2008204	1:2008204
1	2012667	1:2012667
1	2069836	1:2069836
1	2158833	1:2158833
1	2158883	1:2158883
1	2183055	1:2183055
1	2258318	1:2258318
1	2266767	1:2266767
1	2266784	1:2266784
1	2340614	1:2340614
1	2458255	1:2458255
1	2537031	1:2537031
1	2539949	1:2539949
1	2684751	1:2684751
1	2713143	1:2713143
1	2713176	1:2713176
1	2824064	1:2824064
1	2895339	1:2895339
1	2895341	1:2895341
1	2896371	1:2896371
1	3005418	1:3005418
1	3095995	1:3095995
1	3356715	1:3356715
1	3409578	1:3409578
1	3425277	1:3425277
1	3560091	1:3560091
1	3561277	1:3561277
1	3561291	1:3561291
1	3712413	1:3712413
1	3924944	1:3924944
1	3924946	1:3924946
1	4187822	1:4187822
1	4187832	1:4187832
1	4319647	1:4319647
1	4448567	1:4448567
1	4448592	1:4448592
1	4448607	1:4448607
1	4503476	1:4503476
1	4576598	1:4576598
1	4576641	1:4576641
1	4596524	1:4596524
1	4680110	1:4680110
1	4696015	1:4696015
1	4708251	1:4708251
1	4806639	1:4806639
1	4922800	1:4922800
1	4922840	1:4922840
1	5048648	1:5048648
1	5048667	1:5048667
1	5087678	1:5087678
1	5177586	1:5177586
1	5252869	1:5252869
1	5294467	1:5294467
1	5303427	1:5303427
1	5332823	1:5332823
1	5406989	1:5406989
1	5444581	1:5444581
1	5607998	1:5607998
1	5771353	1:5771353
1	5899812	1:5899812
1	6072955	1:6072955
1	6129774	1:6129774
1	6130099	1:6130099
1	6156544	1:6156544
1	6348599	1:6348599
1	6348600	1:6348600
1	6425948	1:6425948
1	6447172	1:6447172
1	6447173	1:6447173
1	6447806	1:6447806
1	6599550	1:6599550
1	6648196	1:6648196
1	6702146	1:6702146
1	6702148	1:6702148
1	6755159	1:6755159
1	6881285	1:6881285
1	6881305	1:6881305
1	6884971	1:6884971
1	6885017	1:6885017
1	6992426	1:6992426
1	6992542	1:6992542
1	7014730	1:7014730
1	7014737	1:7014737
1	7019383	1:7019383
1	7025553	1:7025553
1	7072790	1:7072790
1	7098583	1:7098583
1	7099912	1:7099912
1	7105587	1:7105587
1	7113636	1:7113636
1	7227086	1:7227086
1	7227095	1:7227095
1	7238427	1:7238427
1	7238451	1:7238451
1	7367745	1:7367745
1	7367763	1:7367763
1	7507052	1:7507052
1	7533910	1:7533910
1	7588977	1:7588977
1	7588990	1:7588990
1	7634282	1:7634282
1	7680685	1:7680685
1	7713394	1:7713394
1	7713414	1:7713414
1	7718490	1:7718490
1	7732147	1:7732147
1	7732175	1:7732175
1	7742775	1:7742775
1	7742787	1:7742787
1	7854247	1:7854247
1	7898273	1:7898273
1	7992621	1:7992621
1	8034081	1:8034081
1	8083923	1:8083923
1	8083925	1:8083925
1	8092541	1:8092541
1	8231907	1:8231907
1	8252612	1:8252612
1	8278880	1:8278880
1	8344283	1:8344283
1	8344290	1:8344290
1	8585063	1:8585063
1	8587398	1:8587398
1	8738945	1:8738945
1	8744364	1:8744364
1	8744400	1:8744400
1	8785794	1:8785794
1	8954874	1:8954874
1	8958423	1:8958423
1	9042296	1:9042296
1	9042326	1:9042326
1	9068882	1:9068882
1	9075301	1:9075301
1	9080036	1:9080036
1	9167711	1:9167711
1	9180929	1:9180929
1	9193061	1:9193061
1	9193089	1:9193089
1	9253299	1:9253299
1	9278307	1:9278307
1	9483225	1:9483225
1	9483229	1:9483229
1	9538889	1:9538889
1	9581911	1:9581911
1	9581938	1:9581938
1	9582564	1:9582564
1	9621495	1:9621495
1	9710943	1:9710943
1	9723924	1:9723924
1	9897500	1:9897500
1	9897524	1:9897524
1	9904094	1:9904094
1	9919208	1:9919208
1	9936396	1:9936396
1	9936407	1:9936407
1	10131057	1:10131057
1	10165545	1:10165545
1	10206075	1:10206075
1	10633506	1:10633506
1	10681772	1:10681772
1	10762538	1:10762538
1	10802693	1:10802693
1	10826777	1:10826777
1	10826823	1:10826823
1	10841727	1:10841727
1	10967249	1:10967249
1	11025494	1:11025494
1	11025521	1:11025521
1	11025806	1:11025806
1	11025832	1:11025832
1	11079333	1:11079333
1	11161807	1:11161807
1	11238392	1:11238392
1	11474613	1:11474613
1	11500501	1:11500501
1	11539370	1:11539370
1	11618211	1:11618211
1	11656458	1:11656458
1	11656488	1:11656488
1	11942664	1:11942664
1	11942665	1:11942665
1	11951122	1:11951122
1	12059721	1:12059721
1	12083931	1:12083931
1	12083944	1:12083944
1	12719501	1:12719501
1	12841086	1:12841086
1	12916701	1:12916701
1	12925521	1:12925521
1	12925545	1:12925545
1	12981580	1:12981580
1	12981589	1:12981589
1	12981593	1:12981593
1	13365034	1:13365034
1	13411572	1:13411572
1	13492001	1:13492001
1	13563277	1:13563277
1	13697523	1:13697523
1	13721636	1:13721636
1	13787740	1:13787740
1	13897639	1:13897639
1	13923021	1:13923021
1	13923062	1:13923062
1	13923072	1:13923072
1	14060997	1:14060997
1	14076749	1:14076749
1	14083383	1:14083383
1	14083393	1:14083393
1	14127587	1:14127587
1	14127612	1:14127612
1	14267137	1:14267137
1	14267142	1:14267142
1	14267175	1:14267175
1	14404150	1:14404150
1	14439861	1:14439861
1	14497056	1:14497056
1	14654164	1:14654164
1	14654179	1:14654179
1	14732809	1:14732809
1	14768334	1:14768334
1	14837890	1:14837890
1	14980597	1:14980597
1	15072139	1:15072139
1	15106896	1:15106896
1	15158990	1:15158990
1	15428235	1:15428235
1	15554341	1:15554341
1	15554342	1:15554342
1	16043532	1:16043532
1	16149927	1:16149927
1	16240679	1:16240679
1	16240736	1:16240736
1	16407946	1:16407946
1	16910919	1:16910919
1	16910942	1:16910942
1	16929019	1:16929019
1	17039616	1:17039616
1	17273194	1:17273194
1	17288217	1:17288217
1	17288335	1:17288335
1	17302857	1:17302857
1	17454797	1:17454797
1	17477670	1:17477670
1	17489563	1:17489563
1	17498588	1:17498588
1	17498594	1:17498594
1	17573487	1:17573487
1	17648430	1:17648430
1	17792992	1:17792992
1	17951196	1:17951196
1	17951464	1:17951464
1	17951494	1:17951494
1	17951523	1:17951523
1	17959254	1:17959254
1	17959284	1:17959284
1	17959296	1:17959296
1	17959303	1:17959303
1	17976424	1:17976424
1	18051947	1:18051947
1	18078054	1:18078054
1	18138194	1:18138194
1	18266927	1:18266927
1	18307550	1:18307550
1	18524005	1:18524005
1	18804327	1:18804327
1	18804364	1:18804364
1	18804372	1:18804372
1	18905678	1:18905678
1	18905692	1:18905692
1	19109105	1:19109105
1	19109138	1:19109138
1	19151599	1:19151599
1	19170883	1:19170883
1	19334360	1:19334360
1	19334378	1:19334378
1	19587054	1:19587054
1	19587093	1:19587093
1	19675460	1:19675460
1	19675468	1:19675468
1	19786966	1:19786966
1	19928725	1:19928725
1	19942966	1:19942966
1	19942968	1:19942968
1	19992181	1:19992181
1	20114309	1:20114309
1	20114323	1:20114323
1	20218810	1:20218810
1	20356240	1:20356240
1	20638626	1:20638626
1	20703218	1:20703218
1	20809711	1:20809711
1	21358471	1:21358471
1	21380093	1:21380093
1	21548509	1:21548509
1	21548510	1:21548510
1	21600632	1:21600632
1	21684863	1:21684863
1	21684906	1:21684906
1	21684919	1:21684919
1	21813244	1:21813244
1	21888822	1:21888822
1	21888826	1:21888826
1	21888840	1:21888840
1	21898870	1:21898870
1	22061068	1:22061068
1	22061096	1:22061096
1	22284716	1:22284716
1	22284722	1:22284722
1	22470903	1:22470903
1	22498106	1:22498106
1	22625185	1:22625185
1	22625227	1:22625227
1	22628939	1:22628939
1	22635095	1:22635095
1	22635105	1:22635105
1	22920093	1:22920093
1	23108618	1:23108618
1	23339152	1:23339152
1	23405557	1:23405557
1	23419042	1:23419042
1	23572708	1:23572708
1	23844004	1:23844004
1	24003377	1:24003377
1	24166260	1:24166260
1	24166680	1:24166680
1	24166733	1:24166733
1	24291510	1:24291510
1	24291512	1:24291512
1	24456432	1:24456432
1	24657059	1:24657059
1	24657108	1:24657108
1	24764818	1:24764818
1	24812772	1:24812772
1	24911886	1:24911886
1	25089882	1:25089882
1	25281613	1:25281613
1	25341937	1:25341937
1	25341947	1:25341947
1	25755110	1:25755110
1	25838610	1:25838610
1	25847950	1:25847950
1	25949109	1:25949109
1	25949130	1:25949130
1	25949135	1:25949135
1	25980016	1:25980016
1	26087297	1:26087297
1	26088214	1:26088214
1	26128257	1:26128257
1	26350786	1:26350786
1	26358674	1:26358674
1	26413686	1:26413686
1	26515299	1:26515299
1	26522100	1:26522100
1	26522138	1:26522138
1	26564643	1:26564643
1	26597453	1:26597453
1	26730918	1:26730918
1	26787771	1:26787771
1	26844619	1:26844619
1	26844620	1:26844620
1	26874695	1:26874695
1	26874703	1:26874703
1	26889119	1:26889119
1	27494490	1:27494490
1	27573071	1:27573071
1	27648219	1:27648219
1	27648266	1:27648266
1	27705379	1:27705379
1	27705388	1:27705388
1	27705397	1:27705397
1	27718511	1:27718511
1	28244988	1:28244988
1	28371950	1:28371950
1	28395519	1:28395519
1	28438444	1:28438444
1	28708827	1:28708827
1	28734955	1:28734955
1	28836865	1:28836865
1	28898911	1:28898911
1	28899361	1:28899361
1	28942214	1:28942214
1	28942220	1:28942220
1	28989786	1:28989786
1	29019762	1:29019762
1	29142836	1:29142836
1	29155014	1:29155014
1	29155446	1:29155446
1	29156046	1:29156046
1	29258112	1:29258112
1	29258146	1:29258146
1	29258164	1:29258164
1	29301085	1:29301085
1	29301118	1:29301118
1	29301386	1:29301386
1	29301389	1:29301389
1	29301434	1:29301434
1	29435182	1:29435182
1	29435187	1:29435187
1	29451642	1:29451642
1	29466828	1:29466828
1	29474732	1:29474732
1	29542639	1:29542639
1	29587894	1:29587894
1	29587898	1:29587898
1	29956465	1:29956465
1	29956484	1:29956484
1	30204373	1:30204373
1	30204419	1:30204419
1	30695783	1:30695783
1	30918101	1:30918101
1	30918130	1:30918130
1	31066777	1:31066777
1	33786059	1:33786059
1	33945438	1:33945438
1	34083069	1:34083069
1	35098672	1:35098672
1	35492789	1:35492789
1	35633443	1:35633443
1	35646208	1:35646208
1	36244176	1:36244176
1	36339802	1:36339802
1	36446226	1:36446226
1	36735443	1:36735443
1	36736312	1:36736312
1	36856878	1:36856878
1	37114806	1:37114806
1	37114824	1:37114824
1	37446085	1:37446085
1	37562135	1:37562135
1	37662902	1:37662902
1	37662909	1:37662909
1	37835503	1:37835503
1	37847873	1:37847873
1	37973253	1:37973253
1	38024536	1:38024536
1	38035251	1:38035251
1	38078421	1:38078421
1	38406390	1:38406390
1	38501862	1:38501862
1	38589965	1:38589965
1	38590013	1:38590013
1	38608613	1:38608613
1	38661852	1:38661852
1	38731489	1:38731489
1	38755503	1:38755503
1	38859616	1:38859616
1	38859662	1:38859662
1	38963178	1:38963178
1	38963188	1:38963188
1	38989074	1:38989074
1	38989090	1:38989090
1	39005214	1:39005214
1	39057045	1:39057045
1	40815756	1:40815756
1	40849132	1:40849132
1	40900113	1:40900113
1	41037346	1:41037346
1	41345190	1:41345190
1	41346096	1:41346096
1	41560639	1:41560639
1	41724630	1:41724630
1	41829745	1:41829745
1	41870289	1:41870289
1	41870318	1:41870318
1	41877540	1:41877540
1	41881878	1:41881878
1	41881884	1:41881884
1	41997531	1:41997531
1	41997586	1:41997586
1	41997588	1:41997588
1	42048588	1:42048588
1	42163733	1:42163733
1	42163880	1:42163880
1	42199867	1:42199867
1	42199884	1:42199884
1	42368964	1:42368964
1	42368989	1:42368989
1	42576257	1:42576257
1	42576524	1:42576524
1	42620973	1:42620973
1	42629275	1:42629275
1	42629577	1:42629577
1	42726112	1:42726112
1	42726151	1:42726151
1	42859233	1:42859233
1	43069378	1:43069378
1	43083019	1:43083019
1	43106972	1:43106972
1	43256300	1:43256300
1	43279379	1:43279379
1	43279385	1:43279385
1	43308649	1:43308649
1	43308663	1:43308663
1	43308667	1:43308667
1	43308681	1:43308681
1	43331195	1:43331195
1	43388309	1:43388309
1	43388311	1:43388311
1	43399880	1:43399880
1	43399916	1:43399916
1	43425091	1:43425091
1	43425094	1:43425094
1	43464220	1:43464220
1	43464479	1:43464479
1	43568076	1:43568076
1	43599507	1:43599507
1	43599526	1:43599526
1	43664626	1:43664626
1	43672364	1:43672364
1	43672377	1:43672377
1	43672404	1:43672404
1	43778903	1:43778903
1	43778922	1:43778922
1	43783246	1:43783246
1	43862765	1:43862765
1	43862769	1:43862769
1	43896605	1:43896605
1	43960542	1:43960542
1	44001442	1:44001442
1	44223985	1:44223985
1	44224012	1:44224012
1	44251371	1:44251371
1	44368109	1:44368109
1	44389132	1:44389132
1	44473598	1:44473598
1	44473604	1:44473604
1	44634524	1:44634524
1	44634533	1:44634533
1	44644709	1:44644709
1	44702268	1:44702268
1	45003843	1:45003843
1	45034324	1:45034324
1	45090839	1:45090839
1	45114116	1:45114116
1	45185091	1:45185091
1	45258726	1:45258726
1	45258780	1:45258780
1	45324795	1:45324795
1	45324810	1:45324810
1	45345090	1:45345090
1	45345094	1:45345094
1	45346108	1:45346108
1	45406952	1:45406952
1	45406970	1:45406970
1	45406988	1:45406988
1	45500257	1:45500257
1	45624588	1:45624588
1	45706305	1:45706305
1	45776353	1:45776353
1	45907871	1:45907871
1	45924135	1:45924135
1	45924190	1:45924190
1	46463328	1:46463328
1	46630167	1:46630167
1	46630195	1:46630195
1	46630216	1:46630216
1	46888430	1:46888430
1	46888432	1:46888432
1	46888446	1:46888446
1	46935990	1:46935990
1	46936037	1:46936037
1	47039923	1:47039923
1	47040329	1:47040329
1	47125015	1:47125015
1	47151617	1:47151617
1	47359956	1:47359956
1	47359958	1:47359958
1	47429234	1:47429234
1	47429266	1:47429266
1	47460107	1:47460107
1	47460145	1:47460145
1	47471577	1:47471577
1	47499034	1:47499034
1	47499056	1:47499056
1	47775268	1:47775268
1	47873276	1:47873276
1	47873283	1:47873283
1	48522616	1:48522616
1	48545211	1:48545211
1	48545235	1:48545235
1	48647496	1:48647496
1	48709667	1:48709667
1	48709677	1:48709677
1	48856893	1:48856893
1	48856922	1:48856922
1	48856939	1:48856939
1	48866123	1:48866123
1	48866151	1:48866151
1	48889624	1:48889624
1	48889636	1:48889636
1	49067442	1:49067442
1	49074477	1:49074477
1	49369355	1:49369355
1	49369384	1:49369384
1	49472358	1:49472358
1	49472376	1:49472376
1	49606846	1:49606846
1	49606875	1:49606875
1	49690859	1:49690859
1	49695824	1:49695824
1	49695834	1:49695834
1	49750726	1:49750726
1	49874095	1:49874095
1	50040737	1:50040737
1	50040782	1:50040782
1	50040824	1:50040824
1	50061975	1:50061975
1	50061988	1:50061988
1	50062000	1:50062000
1	50080731	1:50080731
1	50141380	1:50141380
1	50161033	1:50161033
1	50161060	1:50161060
1	50368998	1:50368998
1	50369018	1:50369018
1	50458989	1:50458989
1	50494505	1:50494505
1	50494563	1:50494563
1	50593016	1:50593016
1	50605205	1:50605205
1	50623696	1:50623696
1	50628612	1:50628612
1	50632354	1:50632354
1	50637669	1:50637669
1	50690462	1:50690462
1	50690498	1:50690498
1	50714675	1:50714675
1	50824348	1:50824348
1	51031565	1:51031565
1	51031582	1:51031582
1	51183920	1:51183920
1	51183989	1:51183989
1	51184002	1:51184002
1	51370980	1:51370980
1	51371013	1:51371013
1	51399557	1:51399557
1	51399584	1:51399584
1	51399602	1:51399602
1	51399606	1:51399606
1	51505014	1:51505014
1	51924928	1:51924928
1	51930161	1:51930161
1	51973233	1:51973233
1	51973234	1:51973234
1	51981925	1:51981925
1	52000153	1:52000153
1	52000164	1:52000164
1	52000169	1:52000169
1	52210204	1:52210204
1	52210208	1:52210208
1	52210597	1:52210597
1	52210623	1:52210623
1	52222924	1:52222924
1	52222973	1:52222973
1	52382166	1:52382166
1	52382195	1:52382195
1	52382517	1:52382517
1	52386011	1:52386011
1	52402696	1:52402696
1	52464247	1:52464247
1	52532958	1:52532958
1	52532979	1:52532979
1	52538483	1:52538483
1	52538520	1:52538520
1	52585448	1:52585448
1	52725908	1:52725908
1	52741354	1:52741354
1	53086559	1:53086559
1	53158641	1:53158641
1	53227969	1:53227969
1	53228023	1:53228023
1	53415096	1:53415096
1	53415097	1:53415097
1	53522007	1:53522007
1	53735569	1:53735569
1	53735583	1:53735583
1	53821646	1:53821646
1	53821686	1:53821686
1	54004681	1:54004681
1	54142512	1:54142512
1	54157237	1:54157237
1	54234860	1:54234860
1	54371185	1:54371185
1	54439023	1:54439023
1	54577908	1:54577908
1	54606602	1:54606602
1	54612639	1:54612639
1	54721321	1:54721321
1	54752648	1:54752648
1	54795268	1:54795268
1	54850880	1:54850880
1	55059516	1:55059516
1	55308298	1:55308298
1	55320692	1:55320692
1	55371587	1:55371587
1	55371625	1:55371625
1	55438139	1:55438139
1	55438145	1:55438145
1	55452673	1:55452673
1	55605845	1:55605845
1	55629796	1:55629796
1	55706769	1:55706769
1	55706822	1:55706822
1	55706847	1:55706847
1	55710800	1:55710800
1	56056287	1:56056287
1	56056304	1:56056304
1	56113393	1:56113393
1	56113418	1:56113418
1	56200162	1:56200162
1	56200174	1:56200174
1	56335296	1:56335296
1	56349779	1:56349779
1	56469135	1:56469135
1	56469167	1:56469167
1	56504390	1:56504390
1	56530104	1:56530104
1	56530119	1:56530119
1	56530130	1:56530130
1	56539746	1:56539746
1	56929438	1:56929438
1	56951606	1:56951606
1	56951618	1:56951618
1	56967016	1:56967016
1	56967030	1:56967030
1	56967033	1:56967033
1	56967065	1:56967065
1	57053605	1:57053605
1	57079014	1:57079014
1	57097120	1:57097120
1	57097171	1:57097171
